arm,design,n_main,n_cut_lead,n_cut_tail,cuttable,internal_run,cav_before,cav_after,env_before,env_after,rg_before,rg_after,app_before,app_after,verdict_before,verdict_after
arm2noanch_s3002,d105,164,0,3,0,16,0.0,0.0,0.0,0.0,16.4,16.2,11,11,F1 no cavity,F1 no cavity
arm2noanch_s3002,d106,180,17,2,0,18,0.0,0.0,0.0,0.0,18.9,18.0,27,27,F1 no cavity,F1 no cavity
arm2noanch_s3002,d107,147,15,1,1,2,0.0,0.0,0.0,0.0,17.0,13.8,16,2,F1 no cavity,F1 no cavity
arm2noanch_s3002,d044,164,11,0,1,3,0.0,0.0,0.0,0.0,15.1,13.5,14,14,F1 no cavity,F1 no cavity
arm2noanch_s3002,d045,175,18,3,0,19,0.0,0.0,0.0,0.0,20.0,16.6,19,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d046,173,0,0,0,20,0.0,0.0,0.0,0.0,17.4,17.4,32,32,F1 no cavity,F1 no cavity
arm2noanch_s3002,d047,169,11,2,0,4,0.0,0.0,0.0,0.0,15.6,14.3,9,9,F1 no cavity,F1 no cavity
arm0b_s2027,d006,159,13,25,0,13,0.0,0.0,0.0,0.0,20.1,15.4,17,8,F1 no cavity,F1 no cavity
arm0b_s2027,d007,94,10,0,0,14,0.0,0.0,0.0,0.0,17.3,16.2,9,9,F1 no cavity,F1 no cavity
arm0b_s2027,d008,189,4,2,0,19,30.2,30.2,499.6,499.6,20.0,19.9,11,11,F2 envelope,F2 envelope
arm0b_s2027,d009,112,2,25,0,20,0.0,0.0,0.0,0.0,22.3,19.8,18,4,F1 no cavity,F1 no cavity
arm2noanch_s3002,d060,155,20,12,0,5,0.0,0.0,0.0,0.0,20.3,13.5,20,13,F1 no cavity,F1 no cavity
arm2noanch_s3002,d061,149,6,8,0,6,0.0,0.0,0.0,0.0,14.9,13.7,8,3,F1 no cavity,F1 no cavity
arm2noanch_s3002,d062,150,9,0,0,11,0.0,0.0,0.0,0.0,16.0,15.2,5,5,F1 no cavity,F1 no cavity
arm2noanch_s3002,d063,113,16,0,0,18,0.0,0.0,0.0,0.0,18.7,14.5,17,5,F1 no cavity,F1 no cavity
arm1slack_s3001,d128,105,16,8,0,30,0.0,0.0,0.0,0.0,21.8,20.9,35,35,F1 no cavity,F1 no cavity
arm1slack_s3001,d129,211,14,0,0,20,27.4,39.1,530.6,523.0,18.3,17.0,26,26,F2 envelope,F2 envelope
arm1slack_s3001,d130,99,11,4,1,3,0.0,0.0,0.0,0.0,14.8,13.0,7,5,F1 no cavity,F1 no cavity
arm1slack_s3001,d131,195,0,0,0,19,21.0,21.0,555.5,555.5,18.2,18.2,15,15,F2 envelope,F2 envelope
