name,hit,heavy_atoms,mw,length_A,npr1,npr2,asphericity,shape_class
"Methoxsalen",1,16,216.2,8.11,0.262,0.738,0.421,ROD
"Osthole",1,18,244.3,8.34,0.495,0.577,0.205,DISC
"Imperatorin",1,20,270.3,9.36,0.373,0.644,0.291,DISC
"Psoralen",1,14,186.2,8.07,0.147,0.853,0.624,ROD
"Scopoletin",1,14,192.2,8.31,0.189,0.811,0.540,ROD
"alpha-Asarone",1,15,208.3,8.91,0.373,0.633,0.296,DISC
"Yangonin",1,19,258.3,13.13,0.091,0.923,0.753,ROD
"Hexylresorcinol",1,14,194.3,8.07,0.345,0.819,0.293,ROD
"Oxantel Pamoate",1,16,216.3,9.26,0.130,0.891,0.661,ROD
"Olivetol",1,13,180.2,7.82,0.282,0.803,0.379,ROD
"Metronidazole Benzoate",1,20,275.3,9.34,0.299,0.906,0.357,ROD
"Sodium dehydroacetate",1,12,168.1,6.75,0.452,0.748,0.187,DISC
"Dehydroacetic acid",1,12,168.1,6.75,0.452,0.748,0.187,DISC
"Equol",1,18,242.3,11.95,0.082,0.967,0.774,ROD
"Diethylstilbestrol",1,20,268.4,8.70,0.513,0.636,0.167,DISC
"Hexestrol",1,20,270.4,11.45,0.212,0.941,0.498,ROD
"2,4-Dinitrophenol",1,13,184.1,7.05,0.254,0.746,0.431,ROD
"2,4,6-Trihydroxybenzoic Acid",1,12,170.1,6.37,0.330,0.684,0.332,DISC
"2,6-Dihydroxybenzoic Acid",1,11,154.1,5.06,0.442,0.558,0.260,DISC
"Amfonelic Acid",1,23,308.3,11.64,0.181,0.914,0.555,ROD
"Lesinurad",1,24,404.3,9.67,0.535,0.776,0.121,DISC
"S-(-)-Lisuride",1,25,338.5,12.21,0.186,0.953,0.548,ROD
"7-Nitroindazole",1,12,163.1,5.83,0.355,0.645,0.313,DISC
"( R)-(+)-Win 55,212-2 Mesylate",1,32,426.5,9.53,0.543,0.623,0.152,DISC
"Vanillyl Butyl Ether",1,15,210.3,9.03,0.211,0.881,0.496,ROD
"Bicalutamide",1,29,430.4,15.18,0.123,0.965,0.678,ROD
"Efavirenz",1,21,315.7,8.11,0.619,0.654,0.103,SPHERE
"Flutamide",1,19,276.2,9.23,0.221,0.851,0.478,ROD
"Flutamide",1,19,276.2,9.23,0.221,0.851,0.478,ROD
"Riluzole",1,15,234.2,9.59,0.111,0.930,0.704,ROD
"Cinacalcet HCl",1,26,357.4,10.18,0.301,0.882,0.353,ROD
"Cinacalcet",1,26,357.4,10.18,0.301,0.882,0.353,ROD
"Bumetanide",1,25,364.4,9.73,0.567,0.575,0.160,SPHERE
"Clopidogrel",1,21,321.8,9.63,0.334,0.849,0.307,ROD
"Nitazoxanide",1,21,307.3,11.03,0.190,0.885,0.534,ROD
"Monobenzone",1,15,200.2,8.66,0.178,0.938,0.562,ROD
"Praziquantel",1,23,312.4,8.94,0.341,0.761,0.302,ROD
"Nevirapine",1,20,266.3,7.62,0.468,0.694,0.183,DISC
"Diclazuril",1,26,407.6,13.31,0.259,0.958,0.422,ROD
"Triclabendazole",1,21,359.7,12.03,0.252,0.866,0.426,ROD
"Oxytetracycline Dihydrate",1,33,460.4,11.52,0.316,0.965,0.342,ROD
"Seratrodast(AA-2414, ABT-001)",1,26,354.4,10.40,0.454,0.819,0.180,DISC
"Artemether",1,21,298.4,8.17,0.525,0.654,0.152,DISC
"Tolbutamide",1,18,270.4,9.16,0.404,0.774,0.229,DISC
"Clomipramine HCl",1,22,314.9,9.40,0.460,0.573,0.235,DISC
"Melitracen hydrochloride",1,22,291.4,9.50,0.356,0.756,0.285,DISC
"Linagliptin",1,35,472.6,14.88,0.232,0.907,0.460,ROD
"Calcipotriene",1,30,412.6,12.95,0.223,0.862,0.475,ROD
"Latanoprost",1,31,432.6,13.64,0.240,0.922,0.448,ROD
"Tafluprost",1,32,452.5,12.60,0.378,0.797,0.255,DISC
"Lathyrol",1,24,334.5,10.60,0.352,0.864,0.285,DISC
"GUANABENZ",1,14,231.1,8.44,0.362,0.697,0.289,DISC
"Guanabenz Acetate",1,14,231.1,8.44,0.362,0.697,0.289,DISC
"Loxapine Succinate",1,23,327.8,9.90,0.492,0.621,0.187,DISC
"Mezlocillin Sodium",1,36,539.6,11.90,0.548,0.585,0.166,DISC
"Liothyronine Sodium",1,23,651.0,12.73,0.334,0.840,0.306,ROD
"Tetrac",1,22,747.8,13.03,0.469,0.997,0.185,DISC
"Phenazopyridine HCl",1,16,213.2,10.30,0.104,0.931,0.719,ROD
"Chloroxylenol",1,10,156.6,5.88,0.305,0.695,0.364,DISC
"Metyrapone",1,17,226.3,8.68,0.211,0.918,0.498,ROD
"Hydroxyzine pamoate",1,26,374.9,12.02,0.368,0.802,0.267,DISC
"Benzbromarone",1,22,424.1,9.56,0.385,0.804,0.247,DISC
"Ibudilast",1,17,230.3,6.86,0.489,0.689,0.168,DISC
"Ibuprofen piconol",1,22,297.4,10.06,0.317,0.759,0.334,ROD
"Combretastatin A4",1,23,316.4,10.82,0.301,0.899,0.354,ROD
"2-Aminopyrimidine",1,7,95.1,4.08,0.322,0.678,0.345,DISC
"3-Amino-1,2,4-Triazole Carboxylic Acid",1,9,128.1,5.64,0.196,0.804,0.528,ROD
"Dihydroxyacetone",1,6,90.1,4.87,0.149,0.854,0.620,ROD
"Honokiol",1,20,266.3,9.34,0.323,0.900,0.325,ROD
"Magnolol",1,20,266.3,8.21,0.407,0.667,0.246,DISC
"Evodiamine",1,23,303.4,10.74,0.202,0.855,0.513,ROD
"Benzyl cinnamate",1,18,238.3,11.66,0.104,0.943,0.722,ROD
"5-Bromo-2-Hydroxybenzophenone",1,13,177.2,6.38,0.307,0.693,0.361,DISC
"Atipamezole hydrochloride",1,16,212.3,7.14,0.349,0.860,0.289,ROD
"(-)-Borneol",0,11,154.3,4.61,0.737,0.934,0.031,SPHERE
"(-)-Epicatechin gallate",0,32,442.4,14.01,0.302,0.850,0.350,ROD
"(-)-Epigallocatechin Gallate",0,33,458.4,14.00,0.324,0.844,0.320,ROD
