name,hit,heavy_atoms,mw,length_A
"(-)Amethopterin",0,33,454.4,15.44753863937842
"(-)Epicatechin",0,21,290.3,10.769361057259964
"(+-)-Alpha-Tocopherol",0,31,430.7,14.372986723529142
"(+,-)-Octopamine HCl",0,11,153.2,6.661586080664541
"(+)-(S)-Carvone",0,11,150.2,6.073464297235056
"(+)-Borneol",0,11,154.3,5.009621940607779
"(+)-Camphor",0,11,152.2,4.914017807381875
"(+)-Catechin",0,21,290.3,9.643689712384344
"(+)-Catechin hydrate",0,21,290.3,9.643689712384344
"(+)-Fangchinoline",0,45,608.7,12.065168419816986
"(+)-Longifolene",0,15,204.4,6.090203645356944
"(+)-Matrine",0,18,248.4,7.159292524951079
"(+)-α-Lipoic acid",0,12,206.3,6.821866432904893
"(+)Naproxen",0,17,230.3,9.894311941800225
"(+/-)-Sulfinpyrazone",0,29,404.5,10.032359110247707
"(1R)-(-)-Menthyl acetate",0,14,198.3,6.7893638119578394
"(1S)-(-)-��-Pinene",0,10,136.2,5.03662108163191
"(R)-(-)-Ibuprofen",0,15,206.3,9.45402146816629
"(R)-(-)-Mandelic acid",0,11,152.1,6.291834338555099
"(R)-(+)-Atenolol HCl",0,19,266.3,9.834128017839307
"(R)-baclofen",0,14,213.7,8.139374618292349
"(R)-Serine",0,7,105.1,4.299890727890725
"(S)-(-)-Perillyl Alcohol",0,11,152.2,7.056591707535082
"(S)-(+)-Camptothecin",0,26,348.4,12.040065966855138
"(S)-(���)-Limonene",0,10,136.2,6.7888642255921114
"(S)-10-Hydroxycamptothecin",0,27,364.4,13.206769111092061
"(S)-crizotinib",0,30,450.3,10.013987813854314
"(S)-Enba",0,26,361.4,11.861974312239205
"(S)-Glutamic acid",0,10,147.1,5.900548801738122
"(��)-Equol",0,18,242.3,9.512816926063024
"(��)-��-Bisabolol",0,16,222.4,7.816608666790679
"(��)-��-Tocopherol",0,31,430.7,14.372986723529142
"(���)-Norepinephrine",0,12,169.2,6.845431847502716
"(���)-��-Pinene",0,10,136.2,4.806226052448548
"1-(2-Hydroxy-Phenyl)-3-Phenyl-Propenone",0,17,226.3,7.434908285745863
"1-Aminobenzotriazole",0,10,134.1,5.192962689390228
"1-Hexadecanol",0,17,242.4,12.052154906659007
"1-Hydroxybenzotriazole",0,10,135.1,5.183534431080641
"1-Indanone",0,10,132.2,5.069978474316551
"1-Phenyl-3-(2-Thiazolyl)-2-Thiourea",0,15,235.3,6.761272311181734
"1, 10-Phenanthroline monohydrate",0,14,180.2,6.982938589428793
"1,2-Propanediol",0,5,76.1,3.676319050287012
"1,2,4-Triazole",0,5,69.1,2.280796225580409
"1,3,5-Tris(4-Hydroxyphenyl)-4-Propyl-1H-Pyrazole",0,29,386.5,13.077174493376315
"1,4-Cineole",0,11,154.3,5.3787890727564
"1,5-Dihydroxyanthraquinone",0,18,240.2,7.56185206259837
"10-Undecenoic acid",0,13,184.3,8.992870853472096
"17-Hydroxyprogesterone",0,24,330.5,11.577745091457327
"2-Amino-5(Methylthio)-1,3,4-Thiadiazole",0,8,147.2,6.288438987447131
"2-Aminoethanethiol",0,4,77.2,3.213691437651031
"2-Aminoethyl Diphenylborinate (2-APB)",0,17,225.1,7.8007268967195245
"2-Aminoheptane",0,8,115.2,5.96177105878682
"2-Aminonicotinic Acid",0,10,138.1,5.006424212076143
"2-Chloroadenosine",0,20,301.7,8.932914790923192
"2-Deoxy-D-glucose",0,11,164.2,5.623698434549082
"2-Deoxy-D-Glucose",0,11,164.2,5.623698434549082
"2-Deoxy-D-ribose",0,9,134.1,4.725432757334241
"2-Ethoxybenzamide",0,12,165.2,6.450787023566286
"2-Ethyl-3-hydroxy-4H-pyran-4-one",0,10,140.1,5.7317184591986825
"2-Hydroxybenzyl alcohol",0,9,124.1,5.021870177496571
"2-Methoxyestradiol (2-MeOE2)",0,22,302.4,10.97092732544661
"2-Methylhexanoic acid",0,9,130.2,6.415419139885209
"2-Methylpentanoic acid",0,8,116.2,5.789964384094893
"2-Phenylacetamide",0,10,135.2,6.148729877862292
"2-Quinolinecarboxaldehyde",0,12,157.2,7.320256155251754
"2-Thiobarbituric Acid",0,9,144.2,4.8835744863300885
"2-Thiouracil",0,8,128.2,4.931150776386198
"2-Thiouracil",0,8,128.2,4.931150776386198
"2,2'-Dipyridyl",0,12,156.2,7.038593585006515
"2,3-Butanedione Monoxime",0,7,101.1,4.56937684765755
"2,3-Dihydroxybenzoic Acid",0,11,154.1,6.037763637337948
"2,3-Dimethoxy-1,4-Naphthoquinone",0,16,218.2,7.597484088231813
"2,3,4-Trihydroxybenzoic Acid",0,12,170.1,6.366450280634914
"2,3,5-Triiodobenzoic Acid",0,12,499.8,7.017484349086795
"2,4-dichlorobenzyl alcohol",0,10,177.0,6.68687106943857
"2,4-Dichlorophenoxyacetic Acid",0,13,221.0,8.274364322582406
"2,4-Dichlorophenoxyacetic Acid, Isooctyl Ester",0,21,333.3,14.548866116831594
"2,4-Dichlorophenoxyacetic Acid, Methyl Ester",0,14,235.1,7.92485562965647
"2,4-Dichlorophenoxybutyric Acid",0,15,249.1,7.899811205805871
"2,4-Dichlorophenoxybutyric Acid, Methyl Ester",0,16,263.1,11.497881743204804
"2,4-Dihydroxybenzoic Acid",0,11,154.1,6.388103002203621
"2,4-Dinitro-Phenylhydrazine",0,14,198.1,7.31709413991352
"2,4,5-Trichlorophenoxyacetic Acid",0,14,255.5,8.239192990351821
"2,4,5-Trichlorophenoxyacetic acid",0,14,255.5,8.239192990351821
"2,4,5-Trichlorophenoxyacetic Acid, Isooctyl Ester",0,22,367.7,10.038030116481377
"2,4,5-Trichlorophenoxyacetic Acid, Methyl Ester",0,15,269.5,7.908645571125998
"2,5-Dihydroxybenzoic Acid",0,11,154.1,6.009650248791464
"2,6-Diaminopurine Sulfate",0,11,150.1,5.683517457635999
"2,6-Dichloroindophenol Sodium Salt Hydrate",0,17,268.1,9.768962572884533
"2,6-Dihydroxypurine",0,11,152.1,5.663715085574036
"2,7-Dichlorofluorescein",0,27,401.2,10.372414005471242
"2,7-Naphthalenediol",0,12,160.2,7.163879842569013
"2'-Deoxyadenosine monohydrate",0,18,251.2,9.494456994681709
"2'-Deoxyguanosine monohydrate",0,19,267.2,8.805750706986299
