comp,entry,mw_bin,mw,n_heavy,n_rot,length,buried,head,mid,tail,null_gap
04W,5HN9,400-500,429.51300000000015,31,15,18.025909542082072,0.9373824818762299,0.9797979797979798,0.8712598682232198,0.9380132701092397,0.03723721564609957
04Z,3RAL,400-500,404.4730000000001,27,6,13.046185815265474,0.8938173711313355,0.949375492795468,0.9750935560065622,0.7822342023892024,0.08246312904258687
053,3SKA,400-500,428.3700000000001,31,4,10.365019959112047,0.8015425946034238,0.9079676275462794,0.6772898554840969,0.7260034738723462,0.12570639637672376
055,3DDW,400-500,487.9430000000002,35,6,11.268135258236128,0.8686712133348287,0.9377030310187262,0.9118723814502894,0.7119065152594496,0.08529682451871189
059,2PJ6,400-500,482.53900000000027,32,12,14.609493769358444,0.7814222141673025,1.0,0.941123117881147,0.45077871149371773,0.2023991715136912
05B,3R1N,400-500,403.44200000000023,30,2,12.197476317076593,0.8353542597981128,0.8514051148649218,1.0,0.7398602474536033,0.09546032139996652
05C,7EW9,400-500,486.66400000000027,36,5,12.69328815406023,0.847423176978636,0.9950248756218906,0.9738847163767422,0.7214067925667026,0.10365249450966171
05F,7EWA,400-500,498.67500000000024,37,5,12.507512744819877,0.8352466136874257,0.9950248756218906,0.9608270745651133,0.7083262602682866,0.0898479045143041
05G,7N2W,400-500,452.4660000000001,30,5,14.704510122323299,0.6558703224144415,0.8551168660042858,0.6894750888632181,0.41772359012745264,0.11301506918713262
05I,7EWB,400-500,498.67500000000024,37,5,12.675373646002981,0.816215955751561,0.9895287958115183,0.9776979711187566,0.6584055164767235,0.12840248259278278
05S,3QTF,400-500,408.54600000000016,30,1,10.346602045493771,0.869702890241411,0.967227932561107,0.8412698412698413,0.7886728588054823,0.10556246379984284
061,1A8T,400-500,452.5180000000001,34,7,14.016177745473833,0.7583666399908342,0.9282463582550262,0.6796489384168832,0.6345184964211257,0.11984662843522527
062,1ZRB,400-500,492.9630000000002,35,5,12.316373439813358,0.7994807723548216,0.9653034944943849,0.8883344214926276,0.6338757395847257,0.13467109549215456
067,3P44,400-500,,26,,12.68959650858347,0.6853707959103794,0.9808883925243892,0.7317336335125888,0.44624471983942327,0.19503237448381433
06E,7OOX,400-500,425.3080000000001,24,8,15.349118461083712,0.7336170511618324,0.9010874456096134,0.8101452636461386,0.5013957690422297,0.13417766502868883
06G,8PPA,400-500,420.0930000000001,24,6,10.116150532262324,0.6431364076681835,0.789690708525089,0.5539414669496682,0.5886405553457265,0.20501716070726522
06H,3R91,400-500,436.55600000000027,32,1,10.367124446739103,0.9022603286631613,0.962431344610782,0.8545454545454545,0.8621551479413818,0.08639530298053617
06J,3R92,400-500,434.58400000000034,32,1,10.531337813187019,0.8726541895556202,0.9578029519337936,0.7653061224489796,0.8372055179593427,0.10149891841581633
06L,8GXP,400-500,456.7110000000003,33,2,12.517095878540182,0.920885469767336,1.0,0.978494623655914,0.7924632308006617,0.07058379045829707
06M,7N42,400-500,499.6000000000003,36,7,12.635629643419279,0.723374784011172,0.955250523290508,0.8391443000956141,0.3854865568363701,0.1546425664463976
06T,3RKZ,400-500,493.65200000000027,36,2,11.612723287446013,0.8062235895813841,0.9703338927393853,0.9582948437374069,0.5982297717068519,0.17190605178664908
06X,3TMZ,400-500,408.8820000000001,28,8,9.925335563427332,0.9116562462433527,0.948698339120023,0.9342671726840361,0.8140880925747969,0.07881615174037256
071,3KB7,400-500,448.5310000000003,33,5,11.777566958892194,0.8392345753016037,0.8545445235930419,0.9744778041881896,0.7651520000148313,0.12391653924116877
07F,7N2A,400-500,414.4800000000001,31,6,10.62900976639099,0.9487360021360423,0.972972972972973,0.8835947699388742,0.9480748910281367,0.035283815544698886
07G,3TU1,400-500,477.89500000000015,33,7,11.187950561205112,0.726497108755338,0.8072539913626876,0.6461765861590345,0.7975111446368739,0.19393592764443113
07H,3TVW,400-500,400.48200000000014,30,4,14.296659600504428,0.6482376767344379,0.6853070645805672,0.5261756324585309,0.6615639680682741,0.1008378640807361
07I,7OPI,400-500,459.58300000000025,33,8,19.848349522129073,0.5729409006629005,0.8711301194896182,0.634787349989089,0.19613982959841136,0.15166793179200427
07N,3TTZ,400-500,421.28100000000006,26,4,15.68156483571203,0.7341092400633296,0.9583200296428238,0.7081656976906849,0.45331607080608194,0.16485347538728656
07S,3TKH,400-500,465.5830000000003,33,6,19.860734665863685,0.5738649038619876,0.8976389196019586,0.7857401644293744,0.15294629772876012,0.190532656411944
082,3TY0,400-500,484.46800000000025,36,5,15.345923556602017,0.9535228653726409,0.9608136382774937,0.9345134831799059,0.9598817015119339,0.02911047082696807
087,3U2K,400-500,430.7230000000002,27,4,15.466584404717114,0.6826317289417463,0.9539030472257648,0.628392422512762,0.41676328615073543,0.21528195937584638
08A,6TYM,400-500,482.5840000000003,36,6,16.95683859515017,0.48828021852460557,0.6107333352057678,0.3013698630136987,0.4497557146690594,0.13760509055477674
08B,3U2D,400-500,408.25600000000014,25,4,14.018605346364401,0.724070802224716,0.9512163423833887,0.788490435613385,0.4814367441296904,0.19046562483602675
08N,7N4Z,400-500,413.4260000000003,30,4,10.421313060327094,0.9767970605113233,0.9818585196775929,0.9740082848929985,0.9739578370099746,0.02397932790579019
08W,3UA8,400-500,446.36700000000013,30,4,14.280750100729634,0.6783058671892963,0.6608101863888374,0.89173977267831,0.5342853718359839,0.18767136354026967
096,3IU2,400-500,442.58500000000043,31,7,13.55526422300723,0.8708224113759204,0.9336238667883271,0.9281850036865403,0.7380952380952381,0.11349802270507414
098,3HY9,400-500,439.5120000000001,32,9,11.132048953500512,0.7803513906939823,0.7296352756324156,0.9879556305985638,0.6309932670953837,0.09942355397490078
09C,3T07,400-500,488.18300000000005,27,2,14.60023039878734,0.8532278008104661,0.954588259914199,0.6975277872424434,0.9261973040477682,0.12983624604232316
09D,3UDP,400-500,459.3650000000002,28,2,10.736620102480707,0.8463091521090236,0.8721222725608794,0.843395432882821,0.8291451906826807,0.06458881766501497
09E,3UDQ,400-500,491.3630000000002,30,2,11.75823557471455,0.8518576493026648,0.8690485154641201,0.8669959638749276,0.8338458289148887,0.06842053734934066
009,3CKR,500-620,605.7830000000001,45,14,15.02747672278633,0.7903639113096269,0.7880184331797235,0.9923527911854761,0.7300164161415321,0.09632015135048763
00I,1QUR,500-620,593.7059999999999,41,12,12.43118981822721,0.8122706398216957,0.8841230470989105,0.6721679730025499,0.85,0.12598964205885785
00K,1A46,500-620,528.6980000000001,38,11,15.010422266113746,0.7801414152397821,0.6927752097826838,0.9827662025316826,0.6561037305555002,0.10527654460519072
00L,1A5G,500-620,578.7180000000003,42,13,16.830267028834776,0.817020962157501,0.7411663941866133,0.9796534972884483,0.6934746348607053,0.10842072344603722
